data,dia_semana,tipo,descricao,observacao
2025-05-19,segunda,facultativo,Dia do Defensor Publico,
2025-06-19,quinta,feriado,Corpus Christi,
2025-06-20,sexta,facultativo,Ponto Facultativo,
2025-07-04,sexta,facultativo,Instalacao do Poder Judiciario no Amazonas,
2025-08-11,segunda,facultativo,Dia do Advogado,
2025-09-05,sexta,estadual,Elevacao do Amazonas a categoria de Provincia,
2025-09-07,domingo,nacional,Independencia do Brasil,cai em fim de semana (redundante p/ calculo)
2025-10-12,domingo,nacional,Nossa Senhora Aparecida,cai em fim de semana (redundante p/ calculo)
2025-10-14,terca,facultativo,Dia Nacional do Ministerio Publico,
2025-10-24,sexta,municipal,Elevacao de Manaus a categoria de Cidade,
2025-10-27,segunda,facultativo,Dia do Servidor Publico (transferido do dia 28/10),
2025-11-02,domingo,nacional,Finados,cai em fim de semana (redundante p/ calculo)
2025-11-15,sabado,nacional,Proclamacao da Republica,cai em fim de semana (redundante p/ calculo)
2025-11-20,quinta,nacional,Dia Nacional de Zumbi e da Consciencia Negra,
2025-11-21,sexta,facultativo,Ponto Facultativo,
2025-12-08,segunda,feriado,Nossa Senhora da Conceicao,
2025-12-08,segunda,forense,"Dia Consagrado a Justica (art. 267, II, LC 17/97)",
2025-12-25,quinta,nacional,Natal,dentro da suspensao do art. 220 (redundante)
2026-01-01,quinta,nacional,Confraternizacao Universal,dentro da suspensao do art. 220 (redundante)
2026-02-16,segunda,facultativo,Carnaval,
2026-02-17,terca,feriado,Carnaval,
2026-02-18,quarta,facultativo,Quarta-feira de Cinzas,
2026-04-02,quinta,forense,"Quinta-feira Santa (art. 267, I, LC 17/97)",
2026-04-03,sexta,nacional,Paixao de Cristo (Sexta-feira Santa),
2026-04-20,segunda,facultativo,Ponto Facultativo,
2026-04-21,terca,nacional,Tiradentes,
2026-05-01,sexta,nacional,Dia Mundial do Trabalho,
2026-05-19,terca,facultativo,Dia do Defensor Publico,
2026-06-04,quinta,feriado,Corpus Christi,
2026-06-05,sexta,facultativo,Ponto Facultativo,
2026-07-04,sabado,facultativo,Instalacao do Poder Judiciario no Amazonas,cai em fim de semana (redundante p/ calculo)
2026-08-11,terca,facultativo,Dia do Advogado,
2026-09-05,sabado,estadual,Elevacao do Amazonas a categoria de Provincia,cai em fim de semana (redundante p/ calculo)
2026-09-07,segunda,nacional,Independencia do Brasil,
2026-10-12,segunda,nacional,Nossa Senhora Aparecida,
2026-10-14,quarta,facultativo,Dia Nacional do Ministerio Publico,
2026-10-24,sabado,municipal,Elevacao de Manaus a categoria de Cidade,cai em fim de semana (redundante p/ calculo)
2026-10-28,quarta,facultativo,Dia do Servidor Publico,
2026-11-02,segunda,nacional,Finados,
2026-11-15,domingo,nacional,Proclamacao da Republica,cai em fim de semana (redundante p/ calculo)
2026-11-20,sexta,nacional,Dia Nacional de Zumbi e da Consciencia Negra,
2026-12-07,segunda,facultativo,Ponto Facultativo,
2026-12-08,terca,feriado,Nossa Senhora da Conceicao,
2026-12-08,terca,forense,"Dia Consagrado a Justica (art. 267, II, LC 17/97)",
2026-12-25,sexta,nacional,Natal,dentro da suspensao do art. 220 (redundante)
